commit_hash,date,device,test_name,status,metric,unit,min_time,max_time,avg_time,median_time,run_count,attempted,all_runs
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_market_response_time,passed,response_time,s,0.588,0.627,0.609,0.615,6,6,"0.627,0.588,0.617,0.59,0.616,0.614"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_communities_response_time,passed,response_time,s,1.107,1.933,1.274,1.147,6,6,"1.933,1.107,1.158,1.18,1.137,1.127"
760417N,2026-06-20T12:00:00,SM-A366B,test_android_settings_response_time,passed,response_time,s,0.588,0.636,0.608,0.605,6,6,"0.636,0.6,0.613,0.603,0.588,0.608"
760417N,2026-06-20T12:00:00,SM-A366B,test_android_wallet_response_time,passed,response_time,s,1.135,1.182,1.162,1.166,6,6,"1.168,1.173,1.149,1.164,1.135,1.182"
760417N,2026-06-20T12:00:00,SM-A366B,test_android_messages_response_time,passed,response_time,s,0.076,0.592,0.171,0.088,6,6,"0.085,0.097,0.085,0.091,0.592,0.076"
760417N,2026-06-20T12:00:00,SM-A366B,test_android_market_response_time,passed,response_time,s,0.571,0.621,0.592,0.59,6,6,"0.59,0.603,0.621,0.577,0.59,0.571"
760417N,2026-06-20T12:00:00,SM-A366B,test_android_communities_response_time,passed,response_time,s,1.602,1.671,1.652,1.659,6,6,"1.66,1.657,1.671,1.666,1.658,1.602"
5b1794,2026-06-22T12:00:00,SM-A366B,test_android_market_response_time,passed,response_time,s,0.608,1.159,0.759,0.635,4,4,"0.633,1.159,0.636,0.608"
5b1794,2026-06-22T12:00:00,SM-A366B,test_android_wallet_response_time,passed,response_time,s,1.198,1.215,1.205,1.203,4,4,"1.198,1.203,1.215,1.203"
5b1794,2026-06-22T12:00:00,SM-A366B,test_android_messages_response_time,passed,response_time,s,0.079,0.091,0.086,0.087,4,4,"0.088,0.091,0.087,0.079"
5b1794,2026-06-22T12:00:00,SM-A366B,test_android_communities_response_time,passed,response_time,s,1.726,2.042,1.831,1.778,4,4,"1.735,2.042,1.82,1.726"
5b1794,2026-06-22T12:00:00,SM-A366B,test_android_settings_response_time,passed,response_time,s,0.561,0.654,0.615,0.623,4,4,"0.632,0.614,0.561,0.654"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_settings_response_time,passed,response_time,s,0.633,0.65,0.638,0.635,4,4,"0.637,0.65,0.634,0.633"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_wallet_response_time,passed,response_time,s,1.195,1.245,1.216,1.212,4,4,"1.222,1.245,1.203,1.195"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_messages_response_time,passed,response_time,s,0.081,0.56,0.204,0.088,4,4,"0.56,0.09,0.081,0.086"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_settings_ens_response_time,passed,response_time,s,0.622,0.666,0.647,0.651,4,4,"0.641,0.661,0.666,0.622"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_settings_appearance_response_time,passed,response_time,s,0.617,0.639,0.628,0.627,4,4,"0.639,0.617,0.618,0.637"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_settings_language_response_time,passed,response_time,s,0.606,0.704,0.637,0.619,4,4,"0.606,0.607,0.631,0.704"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_settings_notifications_response_time,passed,response_time,s,0.617,0.668,0.641,0.639,4,4,"0.651,0.617,0.668,0.628"
