run_id,commit_hash,date,build_label,hostname,windows_version,os_build,cpu,ram_gb
,4acdfba962,2026-08-12T12:45:46,,WINDOWS-NODE-01,Windows Server 2022 Standard 21H2,20348.1487,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,63
,8fddc0c46e,2026-08-13T05:28:37,,WINDOWS-NODE-01,Windows Server 2022 Standard 21H2,20348.1487,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,63
,36ff7f1308,2026-08-13T16:12:48,,WINDOWS-NODE-01,Windows Server 2022 Standard 21H2,20348.1487,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,63
,bd84c55138,2026-08-14T07:28:56,,WINDOWS-NODE-01,Windows Server 2022 Standard 21H2,20348.1487,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,63
nightly-0f49c7a9da-362,0f49c7a9da,2026-08-15T08:40:54,2026-08-15T08:40:54|0f49c7a9da,WINDOWS-NODE-01,Windows Server 2022 Standard 21H2,20348.1487,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,63
nightly-27614460fb-363,27614460fb,2026-08-16T05:28:42,2026-08-16T05:28:42|27614460fb,WINDOWS-NODE-01,Windows Server 2022 Standard 21H2,20348.1487,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,63
nightly-27614460fb-364,27614460fb,2026-08-17T05:27:56,2026-08-17T05:27:56|27614460fb,WINDOWS-NODE-01,Windows Server 2022 Standard 21H2,20348.1487,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,63
nightly-e348b4caa8-365,e348b4caa8,2026-08-18T05:30:17,2026-08-18T05:30:17|e348b4caa8,WINDOWS-NODE-01,Windows Server 2022 Standard 21H2,20348.1487,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,63
nightly-be3c566e16-366,be3c566e16,2026-08-18T20:25:19,2026-08-18T20:25:19|be3c566e16,WINDOWS-NODE-01,Windows Server 2022 Standard 21H2,20348.1487,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,63
nightly-6d4aa0faf8-367,6d4aa0faf8,2026-08-19T06:10:51,2026-08-19T06:10:51|6d4aa0faf8,WINDOWS-NODE-01,Windows Server 2022 Standard 21H2,20348.1487,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,63
nightly-a435c8619d-368,a435c8619d,2026-08-20T06:14:16,2026-08-20T06:14:16|a435c8619d,WINDOWS-NODE-01,Windows Server 2022 Standard 21H2,20348.1487,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,63
